Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length,MEME LogL,FEL LogL
44,1,"0.13","0.00","0.96","40.05","0.04","2.57","0.13","1.00","0.00","-18.55","-17.26"
45,1,"0.00","0.00","0.96","10.56","0.04","2.14","0.17","1.00","0.00","-11.27","-10.54"
46,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
47,1,"0.00","0.00","0.00","0.15","1.00","0.91","0.33","1.00","0.00","-8.49","-8.49"
48,1,"0.18","0.00","1.00","0.36","0.00","0.00","0.67","0.00","0.00","-11.21","-11.21"
49,1,"0.99","0.51","1.00","1.48","0.00","0.00","0.67","0.00","0.00","-23.41","-23.41"
50,1,"3.84","0.17","0.73","8.46","0.27","0.64","0.39","4.00","0.00","-58.40","-56.34"
51,1,"0.00","0.00","0.36","1.25","0.64","2.02","0.18","5.00","0.00","-26.18","-25.95"
52,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
53,1,"1.53","0.00","1.00","2.30","0.00","0.00","0.67","0.00","0.00","-20.22","-20.22"
54,1,"3.30","0.13","1.00","4.95","0.00","0.00","0.67","0.00","0.00","-30.01","-30.01"
55,1,"0.84","0.00","1.00","1.26","0.00","0.00","0.67","0.00","0.00","-9.17","-9.17"
56,1,"2.84","0.00","1.00","4.26","0.00","0.00","0.67","0.00","0.00","-13.08","-13.08"
57,1,"1.69","0.00","1.00","2.53","0.00","0.00","0.67","0.00","0.00","-14.62","-14.62"
58,1,"0.00","0.00","0.00","0.54","1.00","2.04","0.18","4.00","0.00","-16.41","-16.41"
59,1,"1.73","0.13","1.00","2.59","0.00","0.00","0.67","0.00","0.00","-17.16","-17.16"
60,1,"3.42","0.00","1.00","5.13","0.00","0.00","0.67","0.00","0.00","-28.32","-28.32"
61,1,"3.73","1.53","1.00","5.59","0.00","0.00","0.67","0.00","0.00","-45.41","-45.41"
62,1,"4.28","0.14","1.00","6.42","0.00","0.00","0.67","0.00","0.00","-31.26","-31.26"
63,1,"2.58","0.00","1.00","3.87","0.00","0.00","0.67","0.00","0.00","-15.31","-15.31"
64,1,"0.00","0.00","0.00","0.28","1.00","1.22","0.28","2.00","0.00","-12.62","-12.62"
65,1,"5.10","0.00","1.00","7.65","0.00","0.00","0.67","0.00","0.00","-21.31","-21.31"
66,1,"0.34","0.13","1.00","0.52","0.00","0.00","0.67","0.00","0.00","-15.37","-15.37"
67,1,"0.28","0.00","1.00","0.42","0.00","0.00","0.67","0.00","0.00","-8.66","-8.66"
68,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
69,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
70,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
71,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
72,1,"0.41","0.00","1.00","0.62","0.00","0.00","0.67","0.00","0.00","-6.24","-6.24"
73,1,"0.00","0.00","0.00","0.14","1.00","0.76","0.37","1.00","0.00","-9.81","-9.81"
74,1,"3.42","0.00","1.00","5.13","0.00","0.00","0.67","0.00","0.00","-22.66","-22.66"
75,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
76,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
77,1,"0.26","0.00","1.00","0.40","0.00","0.00","0.67","0.00","0.00","-8.68","-8.68"
78,1,"0.00","0.00","0.80","2.57","0.20","3.05","0.10","2.00","0.00","-17.00","-15.80"
79,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
80,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
81,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
82,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
83,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
84,1,"1.91","0.00","1.00","2.87","0.00","0.00","0.67","0.00","0.00","-18.80","-18.80"
85,1,"0.00","0.00","0.00","0.39","1.00","2.40","0.15","2.00","0.00","-11.42","-11.42"
86,1,"0.81","0.00","1.00","1.21","0.00","0.00","0.67","0.00","0.00","-6.73","-6.73"
87,1,"0.00","0.00","0.01","0.24","0.99","1.32","0.26","2.00","0.00","-15.24","-15.24"
88,1,"1.88","0.00","0.97","38.45","0.03","1.80","0.20","1.00","0.00","-25.64","-24.28"
89,1,"0.94","0.00","1.00","1.41","0.00","0.00","0.67","0.00","0.00","-14.80","-14.80"
90,1,"0.28","0.00","0.37","1.39","0.63","0.93","0.33","4.00","0.00","-26.29","-26.17"
91,1,"12.49","0.00","1.00","18.74","0.00","0.00","0.67","0.00","0.00","-21.32","-21.32"
92,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
93,1,"8.89","0.00","1.00","13.33","0.00","0.00","0.67","0.00","0.00","-19.71","-19.71"
94,1,"0.84","0.13","1.00","1.27","0.00","0.00","0.67","0.00","0.00","-14.26","-14.26"
95,1,"0.26","0.00","1.00","0.39","0.00","0.00","0.67","0.00","0.00","-8.20","-8.20"
96,1,"0.45","0.00","1.00","0.67","0.00","0.00","0.67","0.00","0.00","-8.50","-8.50"
97,1,"0.00","0.00","0.37","1.75","0.63","5.62","0.03","4.00","0.00","-24.79","-24.48"
98,1,"0.27","0.00","1.00","0.41","0.00","0.00","0.67","0.00","0.00","-6.75","-6.75"
99,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
100,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
101,1,"1.78","0.00","1.00","2.67","0.00","0.00","0.67","0.00","0.00","-14.68","-14.68"
102,1,"2.58","2.12","1.00","3.87","0.00","0.00","0.67","0.00","0.00","-49.65","-49.65"
103,1,"5.96","0.00","1.00","8.93","0.00","0.00","0.67","0.00","0.00","-19.36","-19.36"
104,1,"2.98","0.00","0.94","6.33","0.06","0.13","0.56","1.00","0.00","-24.14","-23.60"
105,1,"0.43","0.00","1.00","0.65","0.00","0.00","0.67","0.00","0.00","-11.58","-11.58"
106,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
107,1,"4.31","0.00","0.96","12.50","0.04","0.43","0.45","1.00","0.00","-32.70","-31.57"
108,1,"3451.53","0.10","1.00","5177.29","0.00","0.00","0.67","0.00","0.00","-10.43","-10.43"
109,1,"0.00","0.00","0.00","0.32","1.00","1.41","0.25","2.00","0.00","-12.70","-12.70"
110,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
111,1,"1.85","0.17","1.00","2.78","0.00","0.00","0.67","0.00","0.00","-29.75","-29.75"
112,1,"3.02","0.00","1.00","4.53","0.00","0.00","0.67","0.00","0.00","-11.98","-11.98"
113,1,"13.06","0.00","1.00","19.59","0.00","0.00","0.67","0.00","0.00","-20.25","-20.25"
114,1,"0.00","0.00","0.89","8.73","0.11","3.86","0.07","2.00","0.00","-16.27","-15.31"
115,1,"9.40","0.00","1.00","14.10","0.00","0.00","0.67","0.00","0.00","-35.78","-35.78"
116,1,"3.73","0.42","1.00","6.42","0.00","0.00","0.67","0.00","0.00","-34.01","-34.00"
117,1,"0.00","0.00","0.00","0.85","1.00","4.83","0.04","5.00","0.00","-21.49","-21.49"
118,1,"1.67","0.56","1.00","2.50","0.00","0.00","0.67","0.00","0.00","-30.48","-30.48"
119,1,"0.00","0.00","0.00","0.19","1.00","0.98","0.32","1.00","0.00","-8.92","-8.92"
120,1,"0.00","0.00","0.98","43.29","0.02","3.19","0.10","1.00","0.00","-12.85","-11.39"
121,1,"0.25","0.00","1.00","0.38","0.00","0.00","0.67","0.00","0.00","-6.93","-6.93"
122,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
123,1,"0.65","0.00","1.00","0.98","0.00","0.00","0.67","0.00","0.00","-9.52","-9.52"
124,1,"0.00","0.00","0.53","0.36","0.47","1.02","0.31","1.00","0.00","-9.29","-9.28"
125,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
126,1,"0.32","0.00","1.00","0.49","0.00","0.00","0.67","0.00","0.00","-8.37","-8.37"
127,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
128,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
129,1,"1.81","0.82","1.00","2.71","0.00","0.00","0.67","0.00","0.00","-31.05","-31.05"
130,1,"4.31","0.00","1.00","6.46","0.00","0.00","0.67","0.00","0.00","-25.87","-25.87"
131,1,"2.34","0.00","1.00","3.80","0.00","0.00","0.67","0.00","0.00","-19.86","-19.86"
132,1,"0.26","0.00","1.00","0.40","0.00","0.00","0.67","0.00","0.00","-8.64","-8.64"
133,1,"5.02","0.00","1.00","7.53","0.00","0.00","0.67","0.00","0.00","-29.66","-29.66"
134,1,"0.00","0.00","0.00","0.98","1.00","2.28","0.16","4.00","0.00","-25.27","-25.27"
135,1,"0.00","0.00","0.86","1.91","0.14","1.63","0.22","1.00","0.00","-10.51","-10.41"
136,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
137,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
138,1,"3.35","0.00","1.00","5.02","0.00","0.00","0.67","0.00","0.00","-32.98","-32.98"
139,1,"0.92","0.00","1.00","1.39","0.00","0.00","0.67","0.00","0.00","-11.36","-11.36"
140,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
141,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
142,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
143,1,"0.64","0.62","1.00","0.96","0.00","0.00","0.67","0.00","0.00","-22.78","-22.78"
144,1,"1.53","0.36","1.00","2.29","0.00","0.00","0.67","0.00","0.00","-28.91","-28.91"
145,1,"0.29","0.02","0.00","0.65","1.00","0.51","0.43","0.00","0.00","-23.06","-23.06"
146,1,"0.00","0.00","0.03","0.87","0.97","4.16","0.06","4.00","0.00","-24.15","-24.15"
147,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
148,1,"0.44","0.00","1.00","0.65","0.00","0.00","0.67","0.00","0.00","-9.37","-9.37"
149,1,"0.79","0.12","1.00","1.19","0.00","0.00","0.67","0.00","0.00","-12.76","-12.76"
150,1,"1.00","0.00","1.00","1.50","0.00","0.00","0.67","0.00","0.00","-16.54","-16.54"
151,1,"0.17","0.00","1.00","0.25","0.00","0.00","0.67","0.00","0.00","-7.90","-7.90"
152,1,"5.96","0.00","1.00","8.93","0.00","0.00","0.67","0.00","0.00","-17.76","-17.76"
153,1,"1.42","0.12","0.00","2.09","1.00","0.30","0.49","4.00","0.00","-41.40","-41.40"
154,1,"3.69","1.07","1.00","5.53","0.00","0.00","0.67","0.00","0.00","-39.09","-39.09"
155,1,"56.44","0.13","1.00","84.65","0.00","0.00","0.67","0.00","0.00","-30.13","-30.13"
156,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
157,1,"0.81","0.00","1.00","1.21","0.00","0.00","0.67","0.00","0.00","-7.46","-7.46"
158,1,"2.52","0.00","1.00","3.77","0.00","0.00","0.67","0.00","0.00","-26.06","-26.06"
159,1,"0.28","0.00","1.00","0.42","0.00","0.00","0.67","0.00","0.00","-8.80","-8.80"
160,1,"6.54","0.58","1.00","9.81","0.00","0.00","0.67","0.00","0.00","-41.45","-41.45"
161,1,"0.65","0.65","1.00","0.98","0.00","0.00","0.67","0.00","0.00","-29.26","-29.26"
162,1,"0.87","0.00","0.97","24.33","0.03","1.57","0.23","1.00","0.00","-16.98","-15.93"
163,1,"0.00","0.00","0.91","15.88","0.09","1.29","0.27","2.00","0.00","-19.62","-17.83"
164,1,"3.44","0.00","0.94","30.21","0.06","2.68","0.13","2.00","0.00","-31.27","-28.03"
165,1,"3.36","0.16","1.00","5.05","0.00","0.00","0.67","0.00","0.00","-30.93","-30.93"
166,1,"0.00","0.00","0.00","0.10","1.00","0.06","0.60","1.00","0.00","-8.80","-8.80"
167,1,"0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
168,1,"0.90","0.00","1.00","1.34","0.00","0.00","0.67","0.00","0.00","-8.43","-8.43"
169,1,"5.96","0.00","1.00","8.93","0.00","0.00","0.67","0.00","0.00","-17.85","-17.85"
170,1,"3.94","0.23","1.00","5.91","0.00","0.00","0.67","0.00","0.00","-25.26","-25.26"
171,1,"0.00","0.00","0.96","10.81","0.04","2.22","0.16","1.00","0.00","-11.97","-11.25"
172,1,"0.89","0.00","1.00","1.33","0.00","0.00","0.67","0.00","0.00","-22.87","-22.87"
173,1,"0.00","0.00","0.00","0.13","1.00","0.54","0.42","1.00","0.00","-8.15","-8.15"
174,1,"8.95","1.24","1.00","13.43","0.00","0.00","0.67","0.00","0.00","-63.41","-63.41"
175,1,"2.25","0.72","1.00","3.38","0.00","0.00","0.67","0.00","0.00","-42.02","-42.02"
176,1,"8.43","0.28","1.00","12.65","0.00","0.00","0.67","0.00","0.00","-31.10","-31.10"
177,1,"0.32","0.01","0.00","0.37","1.00","0.03","0.62","0.00","0.00","-22.14","-22.14"
178,1,"5.82","0.39","0.94","10.05","0.06","0.07","0.59","0.00","0.00","-42.40","-42.30"
179,1,"9.62","0.40","1.00","14.44","0.00","0.00","0.67","0.00","0.00","-33.07","-33.07"
180,1,"0.00","0.00","0.49","14.29","0.51","1.97","0.19","1.00","0.00","-13.79","-13.57"
181,1,"0.88","0.28","1.00","1.32","0.00","0.00","0.67","0.00","0.00","-16.13","-16.13"
182,1,"0.44","0.00","0.97","30.68","0.03","1.70","0.21","1.00","0.00","-17.26","-14.81"
183,1,"0.00","0.00","0.94","27.12","0.06","5.91","0.02","2.00","0.00","-24.11","-19.91"
184,1,"0.71","0.22","1.00","1.06","0.00","0.00","0.67","0.00","0.00","-18.51","-18.51"
185,1,"0.00","0.00","0.04","0.72","0.96","2.45","0.14","3.00","0.00","-23.03","-23.03"
186,1,"0.31","0.00","1.00","0.46","0.00","0.00","0.67","0.00","0.00","-9.11","-9.11"
187,1,"0.00","0.00","0.92","33.18","0.08","7.13","0.01","3.00","0.00","-29.33","-24.07"
188,1,"0.00","0.00","0.97","21.54","0.03","10.01","0.00","1.00","0.00","-17.67","-13.04"
189,1,"1.33","0.00","1.00","2.00","0.00","0.00","0.67","0.00","0.00","-20.12","-20.12"
190,1,"0.00","0.00","0.87","27.52","0.13","12.34","0.00","4.00","0.00","-37.14","-31.76"
